700316; Interruttore di protezione OK <arresto immediato> (=520C-QA1:14) manca; sinumerik_alarm_plc_pmc; 03.06.2020 09:31:17.4830000; 
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.7680000; 05.06.2020 08:44:00.9720000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.7700000; 05.06.2020 08:44:00.9740000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 08:44:00.7700000; 05.06.2020 08:44:00.9740000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.7610000; 05.06.2020 08:44:01.9100000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.7610000; 05.06.2020 08:44:01.9260000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.7610000; 05.06.2020 08:44:01.9420000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.7610000; 05.06.2020 08:44:01.9580000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 08:44:00.7610000; 05.06.2020 08:44:01.9740000
16927; Canale 2: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 05.06.2020 08:47:01.1720000; 05.06.2020 08:47:59.3100000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 05.06.2020 08:48:02.8310000; 05.06.2020 09:21:43.7740000
705541; L'arresto di emergenza sull'apparecchio di comando manuale HT8 è scattato.; sinumerik_alarm_plc_pmc; 05.06.2020 09:21:43.7710000; 05.06.2020 09:24:25.6300000
703319; Dispositivo di serraggio tavola rotante è serrato e la valvola del giunto caricata manca; sinumerik_alarm_plc_pmc; 05.06.2020 09:21:44.1190000; 05.06.2020 09:24:25.7790000
27251; PROFIsafe: il modulo F 1022, Master segnala l'errore CRC; sinumerik_alarm_nck; 05.06.2020 09:40:08.8140000; 
27021; Asse X_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse Y_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse Z_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
703738; Riparo di carico: errore comunicazione; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.8260000; 
27021; Asse B_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse A_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse SP1 stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse Q_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse EL1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse ES1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse E_1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse ZM1_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
27021; Asse Y_2_ stop D attivato; sinumerik_alarm_nck; 05.06.2020 09:40:08.8180000; 
380075; PROFIBUS/PROFINET: guasto bus di periferia DP 1 Slave/dispositivo 6 indirizzo logico base ; sinumerik_alarm_nck_drive; 05.06.2020 09:40:08.8260000; 
20144; Canale 1: Blocco N64300 Azione sincrona al movimento: IDS=878 accesso alle variabili di sistema non possibile; sinumerik_alarm_nck; 05.06.2020 09:40:08.8270000; 
27252; PROFIsafe: Slave/Device IM155-6 DP HF V3.1, Bus 1, errore segni di vita; sinumerik_alarm_nck; 05.06.2020 09:40:08.8460000; 
380075; PROFIBUS/PROFINET: guasto bus di periferia DP 1 Slave/dispositivo 3 indirizzo logico base ; sinumerik_alarm_nck_drive; 05.06.2020 09:40:08.9040000; 
705540; L'arresto di emergenza sul pulpito di comando principale è scattato.; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.8710000; 
705541; L'arresto di emergenza sull'apparecchio di comando manuale HT8 è scattato.; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.8710000; 
700122; Pannello di comando macchina Schubert MCI-2 difettoso; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9430000; 
700316; Interruttore di protezione OK <arresto immediato> (=520C-QA1:14) manca; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700317; Interruttore di protezione OK <arresto avanzamento> (=11010C-QA1:14) manca; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700318; Interruttore di protezione OK <arresto a fine ciclo> (=700C-QA1:14) manca; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700319; Interruttore di protezione OK <arresto immediato> (=240C-FC1:SIG:S3) manca; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700320; Interruttore di protezione OK <arresto immediato> (=240C-FC2:SIG:S3) manca; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
909011; DP Sistema master(1) Indirizzo:3 Segnalazione cumulativa di guasto; ; 05.06.2020 10:40:09.4860000; 
909011; DP Sistema master(1) Indirizzo:6 Segnalazione cumulativa di guasto; ; 05.06.2020 10:40:09.4870000; 
909011; DP Sistema master(1) Indirizzo:7 Segnalazione cumulativa di guasto; ; 05.06.2020 10:40:09.4870000; 
909011; DP Sistema master(1) Indirizzo:12 Segnalazione cumulativa di guasto; ; 05.06.2020 10:40:09.4870000; 
909011; DP Sistema master(1) Indirizzo:17 Segnalazione cumulativa di guasto; ; 05.06.2020 10:40:09.4870000; 
700748; Master Asi 1 circuito 1: errore periferico ==> ulteriori informazioni nella schermata HMI della diagnosi Asi; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700751; Master Asi 1 circuito 1: errore di configurazione ==> ulteriori informazioni nella schermata HMI della diagnosi Asi; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
909010; PROFINET Sistema IO(100) N. apparecchio:25 Segnalazione cumulativa di guasto; ; 05.06.2020 10:40:09.9380000; 
700753; Master Asi 1 circuito 1: modo di progettazione attivo oppure non nel funzionamento normale; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700754; Master Asi 1 circuito 1: As-i power fail; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
700755; Master Asi 1 circuito 1: master AS-i è offline; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:08.9860000; 
703744; Porta di caricamento: sovvracaricato (Md > momento di soglia Mdx Sinamics p2194); sinumerik_alarm_plc_pmc; 05.06.2020 09:40:09.0570000; 
705544; L'arresto di emergenza sul sistema di caricamento utensile è scattato.; sinumerik_alarm_plc_pmc; 05.06.2020 09:40:09.0920000; 
700905; Profibus DPM1: almeno un device guasto in strang (vedere protocollo allarmi); sinumerik_alarm_plc_pmc; 05.06.2020 09:40:09.1940000; 
; ----- Avvio acquisizione allarmi -----; ; 05.06.2020 10:42:30.5780000; 05.06.2020 10:42:30.5780000
703736; Riparo di carico: è presente un'anomalia nel convertitore --> vedi immagine diagnostica S120; sinumerik_alarm_plc_pmc; 05.06.2020 11:01:44.1380000; 05.06.2020 11:09:51.5640000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.4840000; 05.06.2020 11:02:18.6880000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.4840000; 05.06.2020 11:02:18.6880000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.4920000; 05.06.2020 11:02:18.6960000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.4920000; 05.06.2020 11:02:18.6960000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.4940000; 05.06.2020 11:02:18.6980000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.4940000; 05.06.2020 11:02:18.6980000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.4770000; 05.06.2020 11:02:19.5450000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.4770000; 05.06.2020 11:02:19.5610000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.4780000; 05.06.2020 11:02:19.6890000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.4780000; 05.06.2020 11:02:19.7050000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.4780000; 05.06.2020 11:02:19.7210000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.4780000; 05.06.2020 11:02:19.7370000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.8580000; 05.06.2020 11:02:19.0620000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.8580000; 05.06.2020 11:02:19.0620000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.8600000; 05.06.2020 11:02:19.0640000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.8600000; 05.06.2020 11:02:19.0640000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.8620000; 05.06.2020 11:02:19.0660000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 05.06.2020 11:02:18.8620000; 05.06.2020 11:02:19.0660000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.8490000; 05.06.2020 11:02:20.0210000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.8490000; 05.06.2020 11:02:20.0410000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.8490000; 05.06.2020 11:02:20.0570000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.06.2020 11:02:18.8490000; 05.06.2020 11:02:20.1140000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:28.8910000; 08.06.2020 08:42:29.0970000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:28.8910000; 08.06.2020 08:42:29.0970000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:28.8990000; 08.06.2020 08:42:29.1050000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:28.8990000; 08.06.2020 08:42:29.1050000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:28.9010000; 08.06.2020 08:42:29.1070000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:28.9010000; 08.06.2020 08:42:29.1070000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:28.8860000; 08.06.2020 08:42:29.9550000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:28.8860000; 08.06.2020 08:42:29.9710000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:28.8870000; 08.06.2020 08:42:30.0990000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:28.8870000; 08.06.2020 08:42:30.1150000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:28.8870000; 08.06.2020 08:42:30.1310000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:28.8870000; 08.06.2020 08:42:30.1480000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:29.2670000; 08.06.2020 08:42:29.4720000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:29.2670000; 08.06.2020 08:42:29.4720000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:29.2690000; 08.06.2020 08:42:29.4740000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:29.2690000; 08.06.2020 08:42:29.4740000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:29.2710000; 08.06.2020 08:42:29.4760000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 08.06.2020 08:42:29.2710000; 08.06.2020 08:42:29.4760000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:29.2580000; 08.06.2020 08:42:30.3950000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:29.2580000; 08.06.2020 08:42:30.4110000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:29.2580000; 08.06.2020 08:42:30.4310000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:29.2580000; 08.06.2020 08:42:30.4510000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 08.06.2020 08:42:29.2580000; 08.06.2020 08:42:30.4670000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 08.06.2020 14:49:51.7120000; 08.06.2020 14:49:53.8070000
10621; Canale 1: L'asse Y_1_ è sul finecorsa software  ; sinumerik_alarm_nck; 09.06.2020 10:04:15.3300000; 09.06.2020 10:04:35.6460000
704346; Errore nello spostamento dell'utensile: ordine di spostamento paratoia dal magazzino utensili ausiliario impossibile -> utensile disponibile su alloggiamento speciale paratoia; sinumerik_alarm_plc_pmc; 09.06.2020 10:52:35.1770000; 09.06.2020 10:52:47.2820000
704347; Errore durante il caricamento utensile senza chip: preselezionato utensile caricato/scaricato con chip; sinumerik_alarm_plc_pmc; 09.06.2020 10:52:35.1770000; 09.06.2020 10:52:47.2820000
704346; Errore nello spostamento dell'utensile: ordine di spostamento paratoia dal magazzino utensili ausiliario impossibile -> utensile disponibile su alloggiamento speciale paratoia; sinumerik_alarm_plc_pmc; 09.06.2020 10:53:03.7420000; 09.06.2020 10:53:06.0230000
704347; Errore durante il caricamento utensile senza chip: preselezionato utensile caricato/scaricato con chip; sinumerik_alarm_plc_pmc; 09.06.2020 10:53:03.7420000; 09.06.2020 10:53:06.0230000
66150; verso posizione di partenza impossibile: asse Z in zona di lavoro, o pezzo ==>> canale 1 blocco N13920; sinumerik_alarm_nck; 09.06.2020 10:53:11.6450000; 09.06.2020 10:53:27.1410000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 09.06.2020 10:53:11.7780000; 09.06.2020 10:53:26.5690000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 09.06.2020 11:53:12.4390000; 09.06.2020 11:53:26.8350000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.6250000; 09.06.2020 10:53:59.8290000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.6250000; 09.06.2020 10:53:59.8290000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.6330000; 09.06.2020 10:53:59.8370000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.6330000; 09.06.2020 10:53:59.8370000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.6350000; 09.06.2020 10:53:59.8390000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.6350000; 09.06.2020 10:53:59.8390000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.6170000; 09.06.2020 10:54:00.6910000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.6170000; 09.06.2020 10:54:00.7080000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.6190000; 09.06.2020 10:54:00.8110000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.6190000; 09.06.2020 10:54:00.8270000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.6190000; 09.06.2020 10:54:00.9170000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.9990000; 09.06.2020 10:54:00.2030000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:53:59.9990000; 09.06.2020 10:54:00.2030000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:54:00.0010000; 09.06.2020 10:54:00.2050000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:54:00.0010000; 09.06.2020 10:54:00.2050000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:54:00.0030000; 09.06.2020 10:54:00.2070000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 09.06.2020 10:54:00.0030000; 09.06.2020 10:54:00.2070000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.9900000; 09.06.2020 10:54:01.1330000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.9900000; 09.06.2020 10:54:01.1490000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.9900000; 09.06.2020 10:54:01.1650000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.9900000; 09.06.2020 10:54:01.1810000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 09.06.2020 10:53:59.9900000; 09.06.2020 10:54:01.1970000
754918; 0 logico  M0.0 manca; sinumerik_alarm_plc_pmc; 09.06.2020 14:46:17.9800000; 09.06.2020 14:46:32.2290000
754978; Pinza 1 dati aggiornati   manca; sinumerik_alarm_plc_pmc; 09.06.2020 14:46:17.9810000; 09.06.2020 14:46:32.2290000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 09.06.2020 13:46:24.3290000; 09.06.2020 13:46:31.5210000
754801; Zona di protezione magazzino supplementare OK   manca; sinumerik_alarm_plc_pmc; 09.06.2020 14:47:44.1240000; 09.06.2020 14:47:53.9100000
704346; Errore nello spostamento dell'utensile: ordine di spostamento paratoia dal magazzino utensili ausiliario impossibile -> utensile disponibile su alloggiamento speciale paratoia; sinumerik_alarm_plc_pmc; 09.06.2020 13:50:29.9370000; 09.06.2020 13:52:17.4150000
704347; Errore durante il caricamento utensile senza chip: preselezionato utensile caricato/scaricato con chip; sinumerik_alarm_plc_pmc; 09.06.2020 13:50:29.9370000; 09.06.2020 13:52:17.4150000
16927; Canale 1: Azione 'Cambio al modo operativo di programma' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 09.06.2020 14:16:16.1580000; 09.06.2020 14:16:22.4650000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 09.06.2020 14:18:20.8720000; 09.06.2020 14:18:26.6550000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 09.06.2020 15:18:24.8770000; 09.06.2020 15:18:26.2680000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 09.06.2020 14:18:42.3090000; 09.06.2020 14:18:55.8980000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 09.06.2020 15:18:46.0860000; 09.06.2020 15:18:56.3870000
