27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.5990000; 
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.1840000; 03.03.2020 00:15:20.3880000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.1860000; 03.03.2020 00:15:20.3900000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.1860000; 03.03.2020 00:15:20.3900000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.1730000; 03.03.2020 00:15:21.2410000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.1730000; 03.03.2020 00:15:21.2570000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.1730000; 03.03.2020 00:15:21.3610000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.1730000; 03.03.2020 00:15:21.3770000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.1730000; 03.03.2020 00:15:21.3930000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.1730000; 03.03.2020 00:15:21.4100000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.5620000; 03.03.2020 00:15:20.7660000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.5620000; 03.03.2020 00:15:20.7660000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.5640000; 03.03.2020 00:15:20.7680000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.5640000; 03.03.2020 00:15:20.7680000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.5660000; 03.03.2020 00:15:20.7700000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.5660000; 03.03.2020 00:15:20.7700000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.5570000; 03.03.2020 00:15:21.7050000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.5570000; 03.03.2020 00:15:21.7210000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.5570000; 03.03.2020 00:15:21.7450000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.5570000; 03.03.2020 00:15:21.7570000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.03.2020 00:15:20.5570000; 03.03.2020 00:15:21.7730000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:23:01.1720000; 03.03.2020 08:23:12.7080000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:28:07.4700000; 03.03.2020 08:28:13.2350000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:28:20.0480000; 03.03.2020 08:28:31.1610000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:28:40.2470000; 03.03.2020 08:28:43.9540000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:29:57.9650000; 03.03.2020 08:30:02.4940000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:31:24.2950000; 03.03.2020 08:32:42.1910000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:33:42.6070000; 03.03.2020 08:33:52.6780000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:40:26.8050000; 03.03.2020 08:40:34.4090000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:41:27.3770000; 03.03.2020 08:41:30.4800000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:43:00.6990000; 03.03.2020 08:43:27.8600000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:43:36.3460000; 03.03.2020 08:43:46.0190000
704338; Errore alla conversione dell'utensile: allogiamento di destinazione non è idoneo; sinumerik_alarm_plc_pmc; 03.03.2020 08:44:09.1260000; 03.03.2020 08:44:21.6760000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 08:47:49.9340000; 03.03.2020 08:47:50.4250000
14014; Canale 1: Programma selezionato X1231100 non esistente oppure in editazione; sinumerik_alarm_nck; 03.03.2020 09:53:47.3700000; 03.03.2020 09:53:49.6770000
510217; Selezione programma canale 1: anomalia selezione programma pezzi; sinumerik_alarm_plc_pmc; 03.03.2020 09:53:47.4580000; 03.03.2020 09:53:50.5480000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 09:53:48.1160000; 03.03.2020 09:53:51.0980000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 09:59:07.9590000; 03.03.2020 09:59:13.6630000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 09:59:14.6240000; 03.03.2020 10:00:42.1650000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 10:00:43.0990000; 03.03.2020 10:00:43.8300000
14014; Canale 1: Programma selezionato X1231100 non esistente oppure in editazione; sinumerik_alarm_nck; 03.03.2020 10:07:29.7040000; 03.03.2020 10:07:31.3340000
510217; Selezione programma canale 1: anomalia selezione programma pezzi; sinumerik_alarm_plc_pmc; 03.03.2020 10:07:29.8960000; 03.03.2020 10:07:32.3890000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 10:07:30.4140000; 03.03.2020 10:07:32.3590000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 10:16:01.3190000; 03.03.2020 10:16:11.9390000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 10:16:01.4830000; 03.03.2020 10:16:19.8550000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 10:16:01.8740000; 03.03.2020 10:16:19.7130000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 10:31:00.3520000; 03.03.2020 10:31:08.1200000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 10:31:00.4460000; 03.03.2020 10:31:17.7760000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 10:31:00.9720000; 03.03.2020 10:31:18.0170000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 10:49:34.8720000; 03.03.2020 10:49:45.3230000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 10:49:34.9960000; 03.03.2020 10:49:53.9830000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 10:49:35.4850000; 03.03.2020 10:49:53.9250000
12080; Canale 1: Blocco 446: errore di sintassi nel testo EOL; sinumerik_alarm_nck; 03.03.2020 11:08:52.9540000; 03.03.2020 11:10:14.4740000
67304; Asse Z in zona ingombro da caricatore UT (Z_TCH_POS_GRP_..  HSK(45.0/65.0 mm) ==>> canale 3 blocco N700485; sinumerik_alarm_nck; 03.03.2020 11:15:12.2470000; 03.03.2020 11:16:25.7100000
511303; Allarme SET da canale NC 3 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 11:15:12.3420000; 03.03.2020 11:16:25.5150000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 11:15:13.1780000; 03.03.2020 11:16:25.4860000
67322; Caricatore utensile: asse E non in posizione di cambio utensile pinza nuova > mandrino  ==>> canale 3 set N700490; sinumerik_alarm_nck; 03.03.2020 11:16:28.3780000; 03.03.2020 11:16:34.6290000
511303; Allarme SET da canale NC 3 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 11:16:28.4270000; 03.03.2020 11:16:35.2650000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 11:16:29.1280000; 03.03.2020 11:16:35.8600000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 11:30:49.8430000; 03.03.2020 11:31:12.9350000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 11:30:49.9010000; 03.03.2020 11:31:00.0020000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 11:30:50.4920000; 03.03.2020 11:31:00.3400000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 11:59:32.2170000; 03.03.2020 11:59:39.4850000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 11:59:32.3760000; 03.03.2020 11:59:40.0120000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 11:59:32.8650000; 03.03.2020 11:59:40.0150000
66196; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[4] /- Tol ==>> canale 1 blocco N240; sinumerik_alarm_nck; 03.03.2020 12:08:28.0750000; 03.03.2020 12:08:35.6160000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 12:08:28.2710000; 03.03.2020 12:08:36.9530000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 12:08:28.7910000; 03.03.2020 12:08:36.8150000
10621; Canale 1: L'asse Z_1_ è sul finecorsa software  ; sinumerik_alarm_nck; 03.03.2020 12:12:15.2780000; 03.03.2020 12:17:07.4790000
10621; Canale 1: L'asse Z_1_ è sul finecorsa software  ; sinumerik_alarm_nck; 03.03.2020 12:17:10.8800000; 03.03.2020 12:17:12.0440000
16927; Canale 3: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 13:39:27.3190000; 03.03.2020 13:41:48.9870000
66011; Selezione utensile: utensile selezionato 47210 manca o è bloccato  ==>>  canale 1 set N26600; sinumerik_alarm_nck; 03.03.2020 13:47:37.8420000; 03.03.2020 13:47:46.6720000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 13:47:37.9960000; 03.03.2020 13:48:22.3250000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 13:47:38.4900000; 03.03.2020 13:48:22.4800000
66011; Selezione utensile: utensile selezionato 47210 manca o è bloccato  ==>>  canale 1 set N26600; sinumerik_alarm_nck; 03.03.2020 14:02:25.7130000; 03.03.2020 14:02:29.2790000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 14:02:25.9380000; 03.03.2020 14:02:29.6690000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:02:26.2940000; 03.03.2020 14:02:29.6060000
66011; Selezione utensile: utensile selezionato 47210 manca o è bloccato  ==>>  canale 1 set N26600; sinumerik_alarm_nck; 03.03.2020 14:04:52.1380000; 03.03.2020 14:05:07.2570000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 14:04:52.1920000; 03.03.2020 14:05:07.8620000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:04:52.7490000; 03.03.2020 14:05:07.7960000
65561; [G_TOOL_CHECK] Canale 1 Blocco N300 Lunghezza utensile tagliente 2 fuori tolleranza; sinumerik_alarm_nck; 03.03.2020 14:06:50.4590000; 03.03.2020 14:07:11.5290000
16906; Canale 1: Influenza sul programma: azione 'Avviare l'elaborazione selezionata' interrotta a causa di un allarme; sinumerik_alarm_nck; 03.03.2020 14:06:50.5140000; 03.03.2020 14:07:11.5290000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 14:06:50.6420000; 03.03.2020 14:07:12.3010000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:06:53.0990000; 03.03.2020 14:07:12.2750000
701711; Impianto lubrorefrigerante pompa ad alta pressione  selezione pressione fuori range valido; sinumerik_alarm_plc_pmc; 03.03.2020 14:08:11.2200000; 03.03.2020 14:08:16.7860000
753839; Anomalia canale 2  DB2500.DBX100.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:08:12.5340000; 03.03.2020 14:08:16.8690000
701711; Impianto lubrorefrigerante pompa ad alta pressione  selezione pressione fuori range valido; sinumerik_alarm_plc_pmc; 03.03.2020 14:08:17.6330000; 03.03.2020 14:08:18.4760000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:08:19.2810000; 03.03.2020 14:08:19.3790000
753839; Anomalia canale 2  DB2500.DBX100.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:08:19.2810000; 03.03.2020 14:08:19.3800000
703736; Riparo di carico: è presente un'anomalia nel convertitore --> vedi immagine diagnostica S120; sinumerik_alarm_plc_pmc; 03.03.2020 14:21:57.3440000; 03.03.2020 14:22:04.3430000
703736; Riparo di carico: è presente un'anomalia nel convertitore --> vedi immagine diagnostica S120; sinumerik_alarm_plc_pmc; 03.03.2020 14:22:06.1950000; 03.03.2020 14:22:08.2580000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 14:25:50.9810000; 03.03.2020 14:26:15.3280000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 14:25:51.1730000; 03.03.2020 14:25:57.5560000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:25:51.6960000; 03.03.2020 14:25:57.5660000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 14:30:18.7940000; 03.03.2020 14:30:24.9270000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 14:30:18.9920000; 03.03.2020 14:30:32.3780000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 14:30:19.5450000; 03.03.2020 14:30:32.2390000
14080; Canale 1: Blocco 95: destinazione del salto T_47192 non trovata; sinumerik_alarm_nck; 03.03.2020 14:47:22.3370000; 03.03.2020 14:47:29.9300000
66196; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[4] /- Tol ==>> canale 1 blocco N240; sinumerik_alarm_nck; 03.03.2020 15:19:13.7710000; 03.03.2020 15:19:23.9460000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 15:19:13.8290000; 03.03.2020 15:19:38.3840000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 15:19:14.5420000; 03.03.2020 15:19:38.2520000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 15:50:58.5690000; 03.03.2020 15:51:11.9860000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 15:50:58.6290000; 03.03.2020 15:52:49.1100000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 15:50:59.5960000; 03.03.2020 15:52:49.3370000
65561; [G_TOOL_CHECK] Canale 1 Blocco N300 Lunghezza utensile tagliente 2 fuori tolleranza; sinumerik_alarm_nck; 03.03.2020 15:55:00.5900000; 03.03.2020 15:55:18.9760000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 15:55:00.7040000; 03.03.2020 15:55:19.4750000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 15:55:01.1990000; 03.03.2020 15:55:19.5440000
66196; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[4] /- Tol ==>> canale 1 blocco N240; sinumerik_alarm_nck; 03.03.2020 16:01:32.5320000; 03.03.2020 16:01:41.6480000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 16:01:32.6240000; 03.03.2020 16:01:41.9000000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 16:01:33.1530000; 03.03.2020 16:01:41.9360000
66195; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[3] /- Tol ==>> canale 1 blocco N300; sinumerik_alarm_nck; 03.03.2020 16:13:58.3080000; 03.03.2020 16:14:08.8690000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 03.03.2020 16:13:58.5050000; 03.03.2020 16:14:13.5800000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 03.03.2020 16:13:59.0950000; 03.03.2020 16:14:13.5000000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 16:24:13.5140000; 03.03.2020 16:24:14.5210000
700200; Pneumatica: pressostato superamento della pressione (=120FC-BP1:2) manca; sinumerik_alarm_plc_pmc; 03.03.2020 16:27:32.6250000; 03.03.2020 16:30:04.9660000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 16:53:31.1150000; 03.03.2020 16:54:11.0740000
16927; Canale 1: Azione 'Cambio al modo operativo di programma' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.03.2020 17:00:20.3940000; 03.03.2020 17:00:20.6510000
705232; Ricerca di un posto libero: applicazione nessuna risposta, errore timeout; sinumerik_alarm_plc_pmc; 03.03.2020 17:11:03.7960000; 03.03.2020 17:13:48.8050000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 04.03.2020 00:20:13.7920000; 04.03.2020 00:20:13.9960000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 04.03.2020 00:20:13.7920000; 04.03.2020 00:20:13.9960000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 04.03.2020 00:20:13.8000000; 04.03.2020 00:20:14.0040000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 04.03.2020 00:20:13.8000000; 04.03.2020 00:20:14.0040000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 04.03.2020 00:20:13.8020000; 04.03.2020 00:20:14.0060000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 04.03.2020 00:20:13.8020000; 04.03.2020 00:20:14.0060000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.03.2020 00:20:13.7900000; 04.03.2020 00:20:14.8500000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.03.2020 00:20:13.7900000; 04.03.2020 00:20:14.8700000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.03.2020 00:20:13.7890000; 04.03.2020 00:20:14.9660000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.03.2020 00:20:13.7890000; 04.03.2020 00:20:14.9820000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.03.2020 00:20:13.7890000; 04.03.2020 00:20:14.9980000
