27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:35.6560000; 
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:35.6530000; 01.02.2020 00:34:36.9440000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:36.0400000; 01.02.2020 00:34:36.2450000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:36.0400000; 01.02.2020 00:34:36.2450000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:36.0420000; 01.02.2020 00:34:36.2470000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:36.0420000; 01.02.2020 00:34:36.2470000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:36.0440000; 01.02.2020 00:34:36.2490000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 01.02.2020 00:34:36.0440000; 01.02.2020 00:34:36.2490000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:36.0360000; 01.02.2020 00:34:37.1880000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:36.0360000; 01.02.2020 00:34:37.2120000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:36.0360000; 01.02.2020 00:34:37.2280000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:36.0360000; 01.02.2020 00:34:37.2440000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.02.2020 00:34:36.0360000; 01.02.2020 00:34:37.2970000
22069; Canale 1: Blocco N25100 correzione del raggio utensile: non c'è alcun utensile disponibile nel gruppo utensili 5210, programma /_N_CMA_DIR/_N_G_TM_T_SUBSTITU; sinumerik_alarm_nck; 02.02.2020 04:22:52.9920000; 03.02.2020 07:50:10.1290000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.4240000; 03.02.2020 07:50:33.6280000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.4240000; 03.02.2020 07:50:33.6280000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.4320000; 03.02.2020 07:50:33.6360000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.4320000; 03.02.2020 07:50:33.6360000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.4340000; 03.02.2020 07:50:33.6380000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.4340000; 03.02.2020 07:50:33.6380000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.4220000; 03.02.2020 07:50:34.4770000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.4220000; 03.02.2020 07:50:34.5010000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.4230000; 03.02.2020 07:50:34.5850000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.4230000; 03.02.2020 07:50:34.6020000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.4230000; 03.02.2020 07:50:34.6170000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.4230000; 03.02.2020 07:50:34.6330000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.8100000; 03.02.2020 07:50:34.0140000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.8100000; 03.02.2020 07:50:34.0140000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.8120000; 03.02.2020 07:50:34.0160000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.8120000; 03.02.2020 07:50:34.0160000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.8140000; 03.02.2020 07:50:34.0180000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 03.02.2020 07:50:33.8140000; 03.02.2020 07:50:34.0180000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.8060000; 03.02.2020 07:50:34.9650000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.8060000; 03.02.2020 07:50:34.9810000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.8060000; 03.02.2020 07:50:34.9970000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.8060000; 03.02.2020 07:50:35.0130000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 03.02.2020 07:50:33.8060000; 03.02.2020 07:50:35.0690000
754801; Zona di protezione magazzino supplementare OK   manca; sinumerik_alarm_plc_pmc; 03.02.2020 08:05:51.0610000; 03.02.2020 08:06:28.0480000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.02.2020 16:34:16.0620000; 03.02.2020 16:34:16.3830000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.02.2020 16:34:17.3380000; 03.02.2020 16:34:17.5260000
16927; Canale 1: Azione 'Cambio al modo operativo di programma' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.02.2020 16:40:21.2150000; 03.02.2020 16:40:23.4860000
16927; Canale 1: Azione 'Cambio al modo operativo di programma' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 03.02.2020 16:43:41.2640000; 03.02.2020 16:44:22.4620000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:45.8000000; 04.02.2020 08:38:46.0040000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:45.8000000; 04.02.2020 08:38:46.0040000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:45.8080000; 04.02.2020 08:38:46.0120000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:45.8080000; 04.02.2020 08:38:46.0120000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:45.8100000; 04.02.2020 08:38:46.0140000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:45.8100000; 04.02.2020 08:38:46.0140000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:45.7960000; 04.02.2020 08:38:46.8540000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:45.7960000; 04.02.2020 08:38:46.8700000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:45.7970000; 04.02.2020 08:38:46.9780000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:45.7970000; 04.02.2020 08:38:47.0100000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:45.7970000; 04.02.2020 08:38:47.0260000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:45.7970000; 04.02.2020 08:38:47.0420000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:46.1860000; 04.02.2020 08:38:46.3900000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:46.1860000; 04.02.2020 08:38:46.3900000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:46.1880000; 04.02.2020 08:38:46.3920000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:46.1880000; 04.02.2020 08:38:46.3920000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:46.1900000; 04.02.2020 08:38:46.3940000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 04.02.2020 08:38:46.1900000; 04.02.2020 08:38:46.3940000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:46.1800000; 04.02.2020 08:38:47.3220000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:46.1800000; 04.02.2020 08:38:47.3460000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:46.1800000; 04.02.2020 08:38:47.3700000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:46.1800000; 04.02.2020 08:38:47.3860000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 04.02.2020 08:38:46.1800000; 04.02.2020 08:38:47.4420000
27090; Errore nel confronto. incrociato dei dati NCK-PLC, $A_MARKERSI[73], NCK: 0; SI - KDV MARKERSIP[73] Dispositivo di serraggio uscite memorizzate; sinumerik_alarm_nck; 04.02.2020 09:26:22.4500000; 04.02.2020 09:30:20.3500000
27021; Asse X_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse Y_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse Z_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse B_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse A_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse SP1 stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse Q_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse EL1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse ES1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse E_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse ZM1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27021; Asse Y_2_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:26:22.4540000; 04.02.2020 09:26:22.4550000
27091; Errore nel confronto Incrociato dei dati NCK-PLC, stop da PLC; sinumerik_alarm_nck; 04.02.2020 09:26:22.4820000; 04.02.2020 09:30:20.3500000
27091; Errore nel confronto Incrociato dei dati NCK-PLC, stop da PLC; sinumerik_alarm_nck; 04.02.2020 09:30:20.3890000; 04.02.2020 09:30:21.4930000
27021; Asse X_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse Y_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse Z_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse B_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse A_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse SP1 stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse Q_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse EL1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse ES1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse E_1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse ZM1_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
27021; Asse Y_2_ stop D attivato; sinumerik_alarm_nck; 04.02.2020 09:30:20.3930000; 04.02.2020 09:30:20.3950000
201709; Asse X_1_ DRV_3.3:3 (11):SI Motion P1 (CU): STOP D attivato.; fhy101011_05103400; 04.02.2020 09:30:20.4700000; 04.02.2020 09:30:22.8160000
201709; Asse EL1_ DRV_3.15:4 (24):SI Motion P1 (CU): STOP D attivato.; fhy101011_05103400; 04.02.2020 09:30:20.4690000; 04.02.2020 09:30:22.8640000
201709; Asse Y_1_ DRV_3.3:5 (12):SI Motion P1 (CU): STOP D attivato.; fhy101011_05103400; 04.02.2020 09:30:20.4860000; 04.02.2020 09:30:22.8840000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 04.02.2020 10:05:28.2350000; 04.02.2020 10:06:00.8780000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:05:32.4730000; 04.02.2020 10:05:58.0580000
754820; Dati utensile presenti in pinza 1   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:05:58.8150000; 04.02.2020 10:06:00.8940000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 04.02.2020 10:07:28.5810000; 04.02.2020 10:07:59.8370000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:07:32.8760000; 04.02.2020 10:07:58.3740000
754820; Dati utensile presenti in pinza 1   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:07:59.0900000; 04.02.2020 10:08:06.0550000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 04.02.2020 10:08:31.0410000; 04.02.2020 10:09:17.3440000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:08:34.7570000; 04.02.2020 10:09:12.7820000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 04.02.2020 10:14:13.8170000; 04.02.2020 10:14:14.0320000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 04.02.2020 10:20:13.5260000; 04.02.2020 10:32:34.0100000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:20:17.5660000; 04.02.2020 10:32:33.8280000
704333; Anomalia TDI al caricamento/scaricamento dell'utensile di PLC; sinumerik_alarm_plc_pmc; 04.02.2020 10:33:30.4570000; 04.02.2020 10:35:27.5260000
754847; Creare dati utensile su punto di caricamento avviso di fine ciclo   manca; sinumerik_alarm_plc_pmc; 04.02.2020 10:33:34.4010000; 04.02.2020 10:35:27.4840000
66011; Selezione utensile: utensile selezionato 5647 manca o è bloccato  ==>>  canale 1 set N26600; sinumerik_alarm_nck; 04.02.2020 11:51:15.7080000; 04.02.2020 11:51:30.2800000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 04.02.2020 11:51:15.8510000; 04.02.2020 11:51:31.2640000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 04.02.2020 11:51:16.4870000; 04.02.2020 11:51:31.6620000
66196; Mandrino 1: lunghezza dell'utensile L2 <> lunghezza di riferimento: G_Spi1_Control_L2_D[4] /- Tol ==>> canale 1 blocco N240; sinumerik_alarm_nck; 04.02.2020 12:03:34.5970000; 04.02.2020 12:03:42.1940000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 04.02.2020 12:03:34.6330000; 04.02.2020 12:03:41.6160000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 04.02.2020 12:03:35.3240000; 04.02.2020 12:03:41.8520000
14080; Canale 1: Blocco 46: destinazione del salto PROGRAMMOK non trovata; sinumerik_alarm_nck; 04.02.2020 12:10:13.7490000; 04.02.2020 12:10:18.7900000
14080; Canale 1: Blocco 46: destinazione del salto PROGRAMMOK non trovata; sinumerik_alarm_nck; 04.02.2020 12:10:55.8520000; 04.02.2020 12:11:11.6830000
16927; Canale 3: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 04.02.2020 17:10:18.2380000; 04.02.2020 17:12:56.4730000
704801; Controllo rottura utensile 1: braccio scansione non ha toccato la punta utensile: ammasso trucioli??; sinumerik_alarm_plc_pmc; 05.02.2020 05:58:06.9550000; 05.02.2020 08:14:32.7990000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.0200000; 05.02.2020 09:17:00.2240000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.0200000; 05.02.2020 09:17:00.2240000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.0280000; 05.02.2020 09:17:00.2320000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.0280000; 05.02.2020 09:17:00.2320000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.0300000; 05.02.2020 09:17:00.2340000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.0300000; 05.02.2020 09:17:00.2340000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.0170000; 05.02.2020 09:17:01.0780000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.0170000; 05.02.2020 09:17:01.0940000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.0180000; 05.02.2020 09:17:01.1940000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.0180000; 05.02.2020 09:17:01.2260000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.0180000; 05.02.2020 09:17:01.2420000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.0180000; 05.02.2020 09:17:01.3300000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.3940000; 05.02.2020 09:17:00.5990000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.3950000; 05.02.2020 09:17:00.5990000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.3960000; 05.02.2020 09:17:00.6010000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.3960000; 05.02.2020 09:17:00.6010000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.3980000; 05.02.2020 09:17:00.6030000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 05.02.2020 09:17:00.3990000; 05.02.2020 09:17:00.6030000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.3890000; 05.02.2020 09:17:01.5420000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.3890000; 05.02.2020 09:17:01.5660000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.3890000; 05.02.2020 09:17:01.5820000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.3890000; 05.02.2020 09:17:01.5990000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.02.2020 09:17:00.3890000; 05.02.2020 09:17:01.6540000
16927; Canale 1: Azione 'Cambio al modo operativo manuale' non consentita con elaborazione interrupt attiva; sinumerik_alarm_nck; 05.02.2020 09:25:42.0740000; 05.02.2020 09:25:47.9220000
66011; Selezione utensile: utensile selezionato 5426 manca o è bloccato  ==>>  canale 1 set N26600; sinumerik_alarm_nck; 05.02.2020 09:56:32.3130000; 05.02.2020 09:58:35.8620000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 05.02.2020 09:56:32.3940000; 05.02.2020 09:58:37.2220000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 05.02.2020 09:56:33.1940000; 05.02.2020 09:58:37.5860000
66011; Selezione utensile: utensile selezionato 5426 manca o è bloccato  ==>>  canale 1 set N26600; sinumerik_alarm_nck; 05.02.2020 11:00:19.1310000; 05.02.2020 11:00:26.5040000
510219; Allarme SET da canale NC 1 attivo; sinumerik_alarm_plc_pmc; 05.02.2020 11:00:19.2180000; 05.02.2020 11:00:26.8240000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 05.02.2020 11:00:19.8740000; 05.02.2020 11:00:26.9930000
14014; Canale 1: Programma selezionato 11- non esistente oppure in editazione; sinumerik_alarm_nck; 05.02.2020 12:34:16.8340000; 05.02.2020 12:34:19.7090000
510217; Selezione programma canale 1: anomalia selezione programma pezzi; sinumerik_alarm_plc_pmc; 05.02.2020 12:34:16.9580000; 05.02.2020 12:34:20.2780000
