27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:02:58.2100000; 
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.5770000; 04.05.2020 06:02:59.7290000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.5770000; 04.05.2020 06:02:59.7480000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.5770000; 04.05.2020 06:02:59.7720000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.5770000; 04.05.2020 06:02:59.7870000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:02:58.5770000; 04.05.2020 06:02:59.8440000
701048; A-Achse: Klemmung entblockt Druck (=1505FC2-BP1:2) fehlt; sinumerik_alarm_plc_pmc; 04.05.2020 06:11:04.9500000; 04.05.2020 06:19:59.6430000
; ----- Start Alarmerfassung -----; ; 04.05.2020 06:22:46.1610000; 04.05.2020 06:22:46.1610000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:31.7490000; 04.05.2020 06:23:31.9530000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:31.7490000; 04.05.2020 06:23:31.9530000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:31.7570000; 04.05.2020 06:23:31.9610000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:31.7570000; 04.05.2020 06:23:31.9610000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:31.7590000; 04.05.2020 06:23:31.9630000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:31.7590000; 04.05.2020 06:23:31.9630000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:31.7500000; 04.05.2020 06:23:32.8110000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:31.7500000; 04.05.2020 06:23:32.8280000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:31.7500000; 04.05.2020 06:23:32.9240000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:31.7500000; 04.05.2020 06:23:32.9550000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:31.7500000; 04.05.2020 06:23:33.0270000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:32.1230000; 04.05.2020 06:23:32.3270000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:32.1230000; 04.05.2020 06:23:32.3270000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:32.1250000; 04.05.2020 06:23:32.3290000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:32.1250000; 04.05.2020 06:23:32.3290000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:32.1270000; 04.05.2020 06:23:32.3310000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 04.05.2020 06:23:32.1270000; 04.05.2020 06:23:32.3310000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:32.1210000; 04.05.2020 06:23:33.2750000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:32.1210000; 04.05.2020 06:23:33.2910000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:32.1210000; 04.05.2020 06:23:33.3080000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:32.1210000; 04.05.2020 06:23:33.3230000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 04.05.2020 06:23:32.1210000; 04.05.2020 06:23:33.3590000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 08:07:28.0950000; 04.05.2020 08:07:30.9680000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 08:09:36.0610000; 04.05.2020 08:09:38.0730000
752827; HDK analoger Druckschalter Druck erreicht  DB1800.dbx39.0 fehlt; sinumerik_alarm_plc_pmc; 04.05.2020 09:08:28.3300000; 04.05.2020 09:08:36.0070000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 09:39:44.4690000; 04.05.2020 09:39:47.7100000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 11:05:41.6160000; 04.05.2020 11:05:43.8550000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 11:07:26.8240000; 04.05.2020 11:07:29.8600000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 12:32:19.1540000; 04.05.2020 12:32:21.3220000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 12:34:04.1540000; 04.05.2020 12:34:07.2720000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 13:58:49.8450000; 04.05.2020 13:58:53.1550000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 14:00:36.0210000; 04.05.2020 14:00:38.8600000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 15:25:28.2750000; 04.05.2020 15:25:31.1640000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 04.05.2020 15:27:14.2310000; 04.05.2020 15:27:17.2720000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 02:08:33.5630000; 05.05.2020 02:08:36.6150000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 02:10:20.6010000; 05.05.2020 02:10:22.7060000
910510; Spindel: Werkzeug : 311520 Duplonr.: 7 Störgrenze Schwinggeschwindigkeit (v_eff) überschritten oder Unwucht (siehe GROB-Spindeldiagnose); ; 05.05.2020 04:38:40.5590000; 05.05.2020 04:40:36.1430000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 05:23:17.2030000; 05.05.2020 05:23:20.0140000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 05:25:04.2900000; 05.05.2020 05:25:06.4080000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 07:25:50.4050000; 05.05.2020 07:25:53.8160000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 07:27:36.7680000; 05.05.2020 07:27:39.7280000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 09:20:44.2360000; 05.05.2020 09:20:46.7010000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 09:22:30.6260000; 05.05.2020 09:22:32.7820000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 11:05:02.0880000; 05.05.2020 11:05:05.1730000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 11:06:48.1450000; 05.05.2020 11:06:51.1480000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.5110000; 05.05.2020 11:52:33.7150000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.5110000; 05.05.2020 11:52:33.7150000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.5190000; 05.05.2020 11:52:33.7230000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.5190000; 05.05.2020 11:52:33.7230000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.5210000; 05.05.2020 11:52:33.7250000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.5210000; 05.05.2020 11:52:33.7250000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.5070000; 05.05.2020 11:52:34.5720000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.5070000; 05.05.2020 11:52:34.5880000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.5080000; 05.05.2020 11:52:34.7000000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.5080000; 05.05.2020 11:52:34.7170000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.5080000; 05.05.2020 11:52:34.7960000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.5080000; 05.05.2020 11:52:34.8120000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.8970000; 05.05.2020 11:52:34.1010000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.8970000; 05.05.2020 11:52:34.1010000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.8990000; 05.05.2020 11:52:34.1030000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.8990000; 05.05.2020 11:52:34.1030000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.9010000; 05.05.2020 11:52:34.1050000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 05.05.2020 11:52:33.9010000; 05.05.2020 11:52:34.1050000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.8910000; 05.05.2020 11:52:35.0360000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.8910000; 05.05.2020 11:52:35.0560000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.8910000; 05.05.2020 11:52:35.0760000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.8910000; 05.05.2020 11:52:35.0920000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 05.05.2020 11:52:33.8910000; 05.05.2020 11:52:35.1080000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 12:54:24.1830000; 05.05.2020 12:54:27.4350000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 12:56:09.0890000; 05.05.2020 12:56:12.2540000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 12:57:56.1660000; 05.05.2020 12:57:59.6900000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 14:27:44.5440000; 05.05.2020 14:27:47.9080000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 14:29:29.5260000; 05.05.2020 14:29:32.5950000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 05.05.2020 14:31:16.1540000; 05.05.2020 14:31:19.8930000
510008; Vorsicht Crashgefahr! Achsen wurden in JOG verfahren und repositionieren auf kürzesten Weg zurück!; sinumerik_alarm_plc_pmc; 05.05.2020 14:48:13.4590000; 05.05.2020 14:48:31.1410000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:13:59.6170000; 05.05.2020 15:14:00.6740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:13:59.8170000; 05.05.2020 15:14:00.6740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:14:00.0250000; 05.05.2020 15:14:00.6740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:14:00.2330000; 05.05.2020 15:14:00.6740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:14:00.4410000; 05.05.2020 15:14:00.6740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:14:00.6090000; 05.05.2020 15:14:00.6740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 05.05.2020 15:14:00.8500000; 05.05.2020 15:14:02.5710000
; ----- Start Alarmerfassung -----; ; 06.05.2020 06:02:13.3550000; 06.05.2020 06:02:13.3550000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:52.6760000; 06.05.2020 06:02:52.8800000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:52.6760000; 06.05.2020 06:02:52.8800000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:52.6840000; 06.05.2020 06:02:52.8880000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:52.6840000; 06.05.2020 06:02:52.8880000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:52.6860000; 06.05.2020 06:02:52.8900000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:52.6860000; 06.05.2020 06:02:52.8900000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:52.6730000; 06.05.2020 06:02:53.7340000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:52.6730000; 06.05.2020 06:02:53.7490000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:52.6740000; 06.05.2020 06:02:53.8610000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:52.6740000; 06.05.2020 06:02:53.8770000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:52.6740000; 06.05.2020 06:02:53.8930000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:52.6730000; 06.05.2020 06:02:53.9090000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:53.0620000; 06.05.2020 06:02:53.2660000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:53.0620000; 06.05.2020 06:02:53.2660000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:53.0640000; 06.05.2020 06:02:53.2680000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:53.0640000; 06.05.2020 06:02:53.2680000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:53.0660000; 06.05.2020 06:02:53.2700000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 06.05.2020 06:02:53.0660000; 06.05.2020 06:02:53.2700000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:53.0570000; 06.05.2020 06:02:54.2050000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:53.0570000; 06.05.2020 06:02:54.2210000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:53.0570000; 06.05.2020 06:02:54.2370000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:53.0570000; 06.05.2020 06:02:54.2530000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 06.05.2020 06:02:53.0570000; 06.05.2020 06:02:54.2700000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 07:19:53.8560000; 06.05.2020 07:19:57.1470000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 07:21:39.0600000; 06.05.2020 07:21:41.7780000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 07:23:25.3500000; 06.05.2020 07:23:28.8850000
754942; Beladestelle Scheibenmagazin aktiv   fehlt; sinumerik_alarm_plc_pmc; 06.05.2020 11:33:15.3050000; 06.05.2020 11:33:32.6850000
66326; WZ- Magazin 1/1: Werkzeugdaten an der WZ-Wechselpos. (Lader) ==>> Kanal 3 Satz N212600; sinumerik_alarm_nck; 06.05.2020 12:17:41.9020000; 06.05.2020 12:22:09.1290000
511303; SET-Alarm von NC Kanal 3 aktiv; sinumerik_alarm_plc_pmc; 06.05.2020 12:17:42.1170000; 06.05.2020 12:19:29.9370000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 12:23:27.2760000; 06.05.2020 12:24:10.7610000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 12:23:28.7140000; 06.05.2020 12:23:42.3580000
62303; Kanal 1: Satz N1153: Vertrauensbereich überschritten ; sinumerik_alarm_nck; 06.05.2020 12:36:16.8500000; 06.05.2020 12:37:23.6730000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 12:38:32.7100000; 06.05.2020 12:39:01.0450000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 12:38:44.0260000; 06.05.2020 12:38:51.1610000
62303; Kanal 1: Satz N1153: Vertrauensbereich überschritten ; sinumerik_alarm_nck; 06.05.2020 12:39:41.3260000; 06.05.2020 12:40:03.0160000
61303; Kanal 1: Satz N697728: Vertrauensbereich überschritten ; sinumerik_alarm_nck; 06.05.2020 12:40:06.3210000; 06.05.2020 12:40:14.9990000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 12:43:45.6340000; 06.05.2020 12:44:11.8460000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 12:43:56.6980000; 06.05.2020 12:44:02.0490000
510008; Vorsicht Crashgefahr! Achsen wurden in JOG verfahren und repositionieren auf kürzesten Weg zurück!; sinumerik_alarm_plc_pmc; 06.05.2020 13:46:53.2170000; 06.05.2020 13:47:06.9640000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 13:58:10.1370000; 06.05.2020 13:58:11.7610000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 14:00:13.4460000; 06.05.2020 14:00:15.6030000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 14:01:56.2500000; 06.05.2020 14:02:33.5610000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 14:02:17.6510000; 06.05.2020 14:02:21.0010000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 14:03:13.8080000; 06.05.2020 14:03:15.3350000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 14:12:23.8530000; 06.05.2020 14:12:26.8690000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 06.05.2020 14:17:33.3010000; 06.05.2020 14:17:36.0770000
754942; Beladestelle Scheibenmagazin aktiv   fehlt; sinumerik_alarm_plc_pmc; 06.05.2020 15:05:07.2050000; 06.05.2020 15:05:16.6640000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 15:07:50.8020000; 06.05.2020 15:08:00.2520000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 15:07:52.1340000; 06.05.2020 15:07:55.2280000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 06.05.2020 15:18:19.3950000; 06.05.2020 15:19:02.9880000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 06.05.2020 15:18:27.7010000; 06.05.2020 15:18:31.7030000
